Seed,Listed Name,Team,Grade,Record,Scoring,Weight,Last Name,First Name,Name,Wgt-Seed,Full Listing,Points,,,,,,,,,,,
19,"Herman, Brock",Little Rock,,13-3,Yes,149,Herman,Brock,Brock Herman,149lbs-19,#19 Brock Herman (LR) 13-3,0,,,,,,,,,,,
20,"Lamer, Chance",Nebraska,,17-8,Yes,149,Lamer,Chance,Chance Lamer,149lbs-20,#20 Chance Lamer (NEB) 17-8,0,,,,,,,,,,,
21,"Willochell, Gabe",Wyoming,,17-8,Yes,149,Willochell,Gabe,Gabe Willochell,149lbs-21,#21 Gabe Willochell (WYO) 17-8,0,,,,,,,,,,,
22,"Rivera, Eligh",Princeton,,13-9,Yes,149,Rivera,Eligh,Eligh Rivera,149lbs-22,#22 Eligh Rivera (PRIN) 13-9,0,,,,,,,,,,,
23,"Petersen, Max",North Dakota State,,15-8,Yes,149,Petersen,Max,Max Petersen,149lbs-23,#23 Max Petersen (NDSU) 15-8,0,,,,,,,,,,,
24,"Clark, Andrew",Rutgers,,16-10,Yes,149,Clark,Andrew,Andrew Clark,149lbs-24,#24 Andrew Clark (RUT) 16-10,0,,,,,,,,,,,
25,"Gioffre, Michael",Illinois,,16-10,Yes,149,Gioffre,Michael,Michael Gioffre,149lbs-25,#25 Michael Gioffre (ILL) 16-10,0,,,,,,,,,,,
26,"Heap, Anderson",Davidson,,20-9,Yes,149,Heap,Anderson,Anderson Heap,149lbs-26,#26 Anderson Heap (DAV) 20-9,0,,,,,,,,,,,
27,"Gonzales, Andre",Cal Poly,,17-11,Yes,149,Gonzales,Andre,Andre Gonzales,149lbs-27,#27 Andre Gonzales (CP) 17-11,0,,,,,,,,,,,
28,"Brown, Kade",Pittsburgh,,14-8,Yes,149,Brown,Kade,Kade Brown,149lbs-28,#28 Kade Brown (PITT) 14-8,0,,,,,,,,,,,
29,"Cassidy, Kaden",George Mason,,15-4,Yes,149,Cassidy,Kaden,Kaden Cassidy,149lbs-29,#29 Kaden Cassidy (GMU) 15-4,0,,,,,,,,,,,
30,"Layton, Dylan",Rider,,25-9,Yes,149,Layton,Dylan,Dylan Layton,149lbs-30,#30 Dylan Layton (RID) 25-9,0,,,,,,,,,,,
31,"Michaels, Ryan",Edinboro,,24-9,Yes,149,Michaels,Ryan,Ryan Michaels,149lbs-31,#31 Ryan Michaels (EDIN) 24-9,0,,,,,,,,,,,
32,"Jones, Clayton",Michigan State,,15-Nov,Yes,149,Jones,Clayton,Clayton Jones,149lbs-32,#32 Clayton Jones (MSU) 11-15,0,,,,,,,,,,,
33,"McBurney, Austin",Brown,,21-13,Yes,149,McBurney,Austin,Austin McBurney,149lbs-33,#33 Austin McBurney (BRWN) 21-13,0,,,,,,,,,,,
1,"Duke, PJ",Penn State,,19-1,Yes,157,Duke,PJ,PJ Duke,157lbs-1,#1 PJ Duke (PSU) 19-1,0,,,,,,,,,,,
2,"Taylor, Antrell",Nebraska,,22-3,Yes,157,Taylor,Antrell,Antrell Taylor,157lbs-2,#2 Antrell Taylor (NEB) 22-3,0,,,,,,,,,,,
3,"Shapiro, Meyer",Cornell,,15-1,Yes,157,Shapiro,Meyer,Meyer Shapiro,157lbs-3,#3 Meyer Shapiro (COR) 15-1,0,,,,,,,,,,,
4,"Larkin, Kaleb",Arizona State,,24-2,Yes,157,Larkin,Kaleb,Kaleb Larkin,157lbs-4,#4 Kaleb Larkin (ASU) 24-2,0,,,,,,,,,,,
5,"Robideau, Landon",Oklahoma State,,16-2,Yes,157,Robideau,Landon,Landon Robideau,157lbs-5,#5 Landon Robideau (OKST) 16-2,0,,,,,,,,,,,
6,"Swisher, Jude",Penn,,20-3,Yes,157,Swisher,Jude,Jude Swisher,157lbs-6,#6 Jude Swisher (PENN) 20-3,0,,,,,,,,,,,
7,"Webster, Kannon",Illinois,,20-4,Yes,157,Webster,Kannon,Kannon Webster,157lbs-7,#7 Kannon Webster (ILL) 20-4,0,,,,,,,,,,,
8,"Cannon, Brandon",Ohio State,,18-2,Yes,157,Cannon,Brandon,Brandon Cannon,157lbs-8,#8 Brandon Cannon (OHST) 18-2,0,,,,,,,,,,,
9,"Cardenas, Daniel",Stanford,,17-3,Yes,157,Cardenas,Daniel,Daniel Cardenas,157lbs-9,#9 Daniel Cardenas (STAN) 17-3,0,,,,,,,,,,,
10,"Rozynski, Logan",Lehigh,,13-3,Yes,157,Rozynski,Logan,Logan Rozynski,157lbs-10,#10 Logan Rozynski (LEH) 13-3,0,,,,,,,,,,,
11,"Watters, Ty",West Virginia,,22-3,Yes,157,Watters,Ty,Ty Watters,157lbs-11,#11 Ty Watters (WVU) 22-3,0,,,,,,,,,,,
12,"Zerban, Vinny",Iowa State,,15-4,Yes,157,Zerban,Vinny,Vinny Zerban,157lbs-12,#12 Vinny Zerban (ISU) 15-4,0,,,,,,,,,,,
13,"Raike, Derek",Ohio,,21-5,Yes,157,Raike,Derek,Derek Raike,157lbs-13,#13 Derek Raike (OHIO) 21-5,0,,,,,,,,,,,
14,"Miller, Ethen",Virginia Tech,,16-6,Yes,157,Miller,Ethen,Ethen Miller,157lbs-14,#14 Ethen Miller (VT) 16-6,0,,,,,,,,,,,
15,"Catrabone, Cameron",Michigan,,18-8,Yes,157,Catrabone,Cameron,Cameron Catrabone,157lbs-15,#15 Cameron Catrabone (MICH) 18-8,0,,,,,,,,,,,
16,"Swensen, Cael",South Dakota State,,24-7,Yes,157,Swensen,Cael,Cael Swensen,157lbs-16,#16 Cael Swensen (SDSU) 24-7,0,,,,,,,,,,,
17,"Mechler, Luke",Wisconsin,,18-8,Yes,157,Mechler,Luke,Luke Mechler,157lbs-17,#17 Luke Mechler (WISC) 18-8,0,,,,,,,,,,,
